   0 Alan,Pontes,9616
   1 Alpha,Castro,4486
   2 Antonette,Kao,31368
   3 Asuncion,Wendland,6312
   4 Aurelia,Rollison,9291
   5 Barrie,Devoe,1275
   6 Bernarda,Taormina,14361
   7 Brenda,Hale,5470
   8 Britta,Enderle,21598
   9 Broderick,Fugitt,3157
  10 Carolin,Roseborough,29843
  11 Carylon,Forcier,12732
  12 Celeste,Gheen,7526
  13 Christopher,Chapdelaine,26491
  14 Cierra,Boelter,31934
  15 Coreen,Van Elkington,15989
  16 Cris,Skowronski,8017
  17 Daniella,Zapien,12499
  18 Derrick,Jeppson,22794
  19 Donnette,Steveson,19206
  20 Ebony,Cardinale,26236
  21 Elvin,Stauffer,29367
  22 Evonne,Hockman,21720
  23 Flavia,Toledo,14130
  24 Gema,Kwiecien,29468
  25 Hilda,Bible,21564
  26 Hue,Falcone,13887
  27 Jane,Sklar,3947
  28 Jerrold,Poppell,11532
  29 Jessia,Serpa,10754
  30 Jessica,Deramus,25806
  31 Jonas,Heart,19673
  32 Jong,Mccallie,20146
  33 Lakia,Stronach,12197
  34 Leonila,Malinowski,20328
  35 Leonore,Hoos,32620
  36 Lizette,Yule,21164
  37 Lorrine,Riche,20083
  38 Lucinda,Jurado,18050
  39 Marcelene,Virgil,8039
  40 Margery,Quellette,31078
  41 Mikki,Esposito,9381
  42 Myrtle,Fujiwara,4079
  43 Rosanna,Kurt,2638
  44 Scott,Kist,775
  45 Silvia,Gist,17588
  46 Tad,Garrity,25464
  47 Wanda,Escudero,25181
  48 Xochitl,Teems,18264
  49 Zandra,Epperson,15075
